num	delta	http1	simple	spdy3
616	301	602	461	114
617	30	252	127	70
618	36	283	215	119
619	122	492	335	101
620	24	442	147	44
621	71	366	185	60
622	56	354	139	43
623	44	354	104	36
624	45	354	104	39
625	44	354	104	36
626	44	354	104	37
627	44	354	104	37
628	45	354	104	34
629	28	482	363	38
630	44	354	180	45
631	47	488	369	38
632	37	207	106	46
633	118	335	202	60
634	26	156	94	50
635	118	467	311	72
636	30	246	152	45
637	19	487	360	35
638	85	424	330	147
639	14	287	173	29
640	277	724	572	246
641	221	503	386	47
642	38	479	310	60
643	97	352	172	71
644	40	364	149	35
645	124	473	381	48
646	14	123	56	30
